ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,churn_event,region_Zone1,region_Zone2,region_Zone3,marital_Married,ed_level,retire_Yes,gender_Male,voice_Yes,internet_Yes,forward_Yes,custcat_Basic service,custcat_E-service,custcat_Plus service,custcat_Total service,CLV,income_quartile,age_group,high_value,high_income,surv_prob_1year,churn_risk_1year
279,Zone 2,48,42,Unmarried,21,35,College degree,No,Male,No,No,Yes,Plus service,No,0,0,1,0,0,3.0,0,1,0,0,1,False,False,True,False,2043.0080972640792,Q2,40-50,0,0,0.9705219325675093,0.029478067432490707
280,Zone 3,35,45,Unmarried,17,29,Did not complete high school,No,Male,No,No,Yes,Basic service,No,0,0,0,1,0,1.0,0,1,0,0,1,True,False,False,False,1854.703634167494,Q1 (Low),40-50,0,0,0.9362300825000041,0.06376991749999594
281,Zone 1,51,28,Unmarried,8,43,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,0,1,0,0,0,4.0,0,1,1,1,1,False,False,False,True,933.9579848653684,Q2,<30,0,0,0.5955171715508767,0.4044828284491233
282,Zone 2,49,51,Married,5,80,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,0,1,0,1,4.0,0,1,1,1,1,False,False,False,True,1645.7812492797116,Q3,50+,0,1,0.8877918484910348,0.11220815150896524
285,Zone 1,23,35,Married,0,23,High school degree,No,Male,No,No,Yes,Plus service,No,0,1,0,0,1,2.0,0,1,0,0,1,False,False,True,False,1889.0881214454712,Q1 (Low),30-40,0,0,0.9430877508246502,0.05691224917534976
286,Zone 2,26,39,Married,15,58,College degree,No,Female,No,Yes,Yes,Plus service,No,0,0,1,0,1,3.0,0,0,0,1,1,False,False,True,False,1887.9882246254276,Q3,30-40,0,1,0.9428727833436417,0.05712721665635834
287,Zone 1,38,37,Married,1,52,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,0,1,0,0,1,1.0,0,0,1,0,1,False,False,False,True,1938.8457828817516,Q3,30-40,0,1,0.9525192426873865,0.047480757312613475
289,Zone 2,37,50,Unmarried,9,110,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,1,0,0,2.0,0,0,0,0,1,False,False,True,False,2067.4243057919634,Q4 (High),40-50,0,1,0.9744259380301249,0.025574061969875106
290,Zone 2,48,43,Married,1,60,High school degree,No,Male,No,No,No,E-service,No,0,0,1,0,1,2.0,0,1,0,0,0,False,True,False,False,2077.703800299401,Q3,40-50,0,1,0.9760357641474652,0.02396423585253482
292,Zone 1,72,63,Married,29,15,Post-undergraduate degree,Yes,Male,No,No,Yes,Plus service,No,0,1,0,0,1,4.0,1,1,0,0,1,False,False,True,False,2197.1908323593284,Q1 (Low),50+,1,0,0.9933713844568054,0.006628615543194605
293,Zone 1,30,27,Unmarried,4,47,College degree,No,Female,No,Yes,No,E-service,Yes,1,1,0,0,0,3.0,0,0,0,1,0,False,True,False,False,1320.3135015416742,Q2,<30,0,0,0.7830526028240453,0.21694739717595468
294,Zone 1,24,43,Unmarried,14,138,College degree,No,Female,No,Yes,No,Plus service,No,0,1,0,0,0,3.0,0,0,0,1,0,False,False,True,False,1770.7307697806216,Q4 (High),40-50,0,1,0.9182279410907607,0.08177205890923933
297,Zone 2,28,40,Unmarried,7,64,Did not complete high school,No,Male,No,No,No,Plus service,No,0,0,1,0,0,1.0,0,1,0,0,0,False,False,True,False,2001.8997649049543,Q3,30-40,0,1,0.9636852229690644,0.03631477703093555
298,Zone 3,34,51,Unmarried,8,50,College degree,No,Male,Yes,No,No,Basic service,No,0,0,0,1,0,3.0,0,1,1,0,0,True,False,False,False,1423.280829614469,Q3,50+,0,1,0.8207104744668369,0.17928952553316313
300,Zone 2,42,36,Married,8,86,High school degree,No,Female,No,No,No,E-service,No,0,0,1,0,1,2.0,0,0,0,0,0,False,True,False,False,2102.7093615921563,Q4 (High),30-40,0,1,0.9798702564407017,0.020129743559298308
301,Zone 3,67,65,Married,30,17,Did not complete high school,Yes,Female,No,No,Yes,Plus service,No,0,0,0,1,1,1.0,1,0,0,0,1,False,False,True,False,2233.212304747007,Q1 (Low),50+,1,0,0.9981340977308443,0.001865902269155728
302,Zone 1,17,41,Married,7,25,High school degree,No,Male,No,Yes,Yes,Plus service,No,0,1,0,0,1,2.0,0,1,0,1,1,False,False,True,False,1809.764741979135,Q1 (Low),40-50,0,0,0.9268249080548431,0.07317509194515692
303,Zone 1,29,38,Married,19,46,High school degree,No,Male,No,No,No,E-service,No,0,1,0,0,1,2.0,0,1,0,0,0,False,True,False,False,2159.2326579089213,Q2,30-40,1,0,0.9881284129474525,0.011871587052547539
304,Zone 3,66,61,Unmarried,26,361,Did not complete high school,No,Female,No,No,No,E-service,No,0,0,0,1,0,1.0,0,0,0,0,0,False,True,False,False,2227.8288012140697,Q4 (High),50+,1,1,0.9974350837781975,0.002564916221802549
306,Zone 1,28,33,Married,3,14,College degree,No,Male,No,Yes,Yes,Total service,Yes,1,1,0,0,1,3.0,0,1,0,1,1,False,False,False,True,1547.1967788905943,Q1 (Low),30-40,0,0,0.8602862280497976,0.1397137719502024
308,Zone 2,12,64,Unmarried,13,9,High school degree,Yes,Female,No,Yes,Yes,Plus service,No,0,0,1,0,0,2.0,1,0,0,1,1,False,False,True,False,2002.0624790204135,Q1 (Low),50+,0,0,0.9637129546311112,0.036287045368888826
309,Zone 3,48,49,Unmarried,18,39,High school degree,No,Female,Yes,No,Yes,Total service,Yes,1,0,0,1,0,2.0,0,0,1,0,1,False,False,False,True,2096.0755127326183,Q2,40-50,0,0,0.978864107702922,0.02113589229707802
311,Zone 3,8,26,Married,1,25,College degree,No,Male,No,Yes,No,Basic service,Yes,1,0,0,1,1,3.0,0,1,0,1,0,True,False,False,False,808.6594666371066,Q1 (Low),<30,0,0,0.5175363303501543,0.48246366964984566
312,Zone 1,45,52,Unmarried,15,46,Post-undergraduate degree,No,Female,No,No,No,E-service,Yes,1,1,0,0,0,4.0,0,0,0,0,0,False,True,False,False,2101.893322315543,Q2,50+,0,0,0.9797469174450999,0.020253082554900104
313,Zone 1,25,39,Married,8,94,College degree,No,Female,No,No,No,E-service,Yes,1,1,0,0,1,3.0,0,0,0,0,0,False,True,False,False,2080.4626011724395,Q4 (High),30-40,0,1,0.9764644528111954,0.023535547188804573
315,Zone 2,17,68,Married,1,335,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,0,0,1,0,1,1.0,0,0,1,0,1,False,False,False,True,2176.41506511869,Q4 (High),50+,1,1,0.9905309282878817,0.009469071712118304
318,Zone 2,1,26,Married,3,30,High school degree,No,Female,No,No,No,Basic service,Yes,1,0,1,0,1,2.0,0,0,0,0,0,True,False,False,False,1387.4677832902514,Q2,<30,0,0,0.8081314534162993,0.19186854658370067
319,Zone 3,3,31,Married,4,35,High school degree,No,Female,Yes,Yes,Yes,Total service,Yes,1,0,0,1,1,2.0,0,0,1,1,1,False,False,False,True,1535.1100416108604,Q2,30-40,0,0,0.8566815479242548,0.14331845207574523
320,Zone 1,23,27,Married,2,51,Post-undergraduate degree,No,Female,Yes,No,No,Basic service,Yes,1,1,0,0,1,4.0,0,0,1,0,0,True,False,False,False,894.9823222447254,Q3,<30,0,1,0.5721573229891522,0.42784267701084777
322,Zone 1,37,51,Married,15,54,Did not complete high school,No,Male,No,No,No,Plus service,No,0,1,0,0,1,1.0,0,1,0,0,0,False,False,True,False,2190.2518528295677,Q3,50+,1,1,0.9924304382886098,0.007569561711390227
323,Zone 3,5,30,Unmarried,3,46,College degree,No,Male,No,Yes,No,E-service,Yes,1,0,0,1,0,3.0,0,1,0,1,0,False,True,False,False,1374.87946748489,Q2,<30,0,0,0.8035808687560551,0.19641913124394494
324,Zone 1,32,27,Married,3,91,College degree,No,Female,Yes,Yes,No,Total service,Yes,1,1,0,0,1,3.0,0,0,1,1,0,False,False,False,True,1296.9747037735897,Q4 (High),<30,0,1,0.7738621915261824,0.2261378084738176
325,Zone 3,12,22,Unmarried,1,23,College degree,No,Male,No,No,Yes,Basic service,No,0,0,0,1,0,3.0,0,1,0,0,1,True,False,False,False,809.1601126988696,Q1 (Low),<30,0,0,0.5178642106939567,0.4821357893060433
326,Zone 1,72,54,Married,6,345,Did not complete high school,No,Male,No,No,No,Plus service,No,0,1,0,0,1,1.0,0,1,0,0,0,False,False,True,False,2169.202016909695,Q4 (High),50+,1,1,0.9895283218066966,0.010471678193303413
327,Zone 3,3,25,Married,2,45,College degree,No,Female,No,Yes,No,Basic service,Yes,1,0,0,1,1,3.0,0,0,0,1,0,True,False,False,False,865.0966563677028,Q2,<30,0,0,0.553690117907872,0.44630988209212796
328,Zone 1,54,43,Unmarried,12,53,High school degree,No,Male,No,No,Yes,Plus service,No,0,1,0,0,0,2.0,0,1,0,0,1,False,False,True,False,1999.0991989975867,Q3,40-50,0,1,0.9632070662006426,0.03679293379935744
329,Zone 2,26,26,Unmarried,2,14,High school degree,No,Female,No,Yes,Yes,Total service,Yes,1,0,1,0,0,2.0,0,0,0,1,1,False,False,False,True,1295.0110352717993,Q1 (Low),<30,0,0,0.7730774480444563,0.22692255195554367
330,Zone 3,14,36,Unmarried,13,67,Post-undergraduate degree,No,Female,No,Yes,No,Basic service,No,0,0,0,1,0,4.0,0,0,0,1,0,True,False,False,False,980.4097183119236,Q3,30-40,0,1,0.6222725585150075,0.3777274414849925
332,Zone 3,65,47,Married,18,37,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,0,0,0,0,True,False,False,False,2083.7874128636713,Q2,40-50,0,0,0.9769792202167052,0.023020779783294754
333,Zone 3,26,45,Unmarried,18,33,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,0,1,0,1.0,0,1,0,0,0,True,False,False,False,1907.863038753064,Q2,40-50,0,0,0.9467133651258285,0.05328663487417151
335,Zone 2,67,60,Married,32,93,Did not complete high school,No,Male,No,No,No,E-service,No,0,0,1,0,1,1.0,0,1,0,0,0,False,True,False,False,2237.086285436078,Q4 (High),50+,1,1,0.9986343766568632,0.0013656233431368348
336,Zone 1,34,55,Unmarried,2,48,High school degree,No,Male,No,No,No,Basic service,No,0,1,0,0,0,2.0,0,1,0,0,0,True,False,False,False,1638.790024407671,Q3,50+,0,1,0.8859480951598901,0.11405190484010985
337,Zone 1,37,54,Married,35,183,High school degree,No,Male,No,No,No,Plus service,No,0,1,0,0,1,2.0,0,1,0,0,0,False,False,True,False,2226.5315551743224,Q4 (High),50+,1,1,0.9972659811380916,0.0027340188619083827
338,Zone 2,22,23,Married,3,16,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,1,0,1,1.0,0,1,0,0,0,True,False,False,False,1377.556448859059,Q1 (Low),<30,0,0,0.804554284549534,0.19544571545046596
339,Zone 2,5,69,Unmarried,0,11,High school degree,Yes,Male,No,No,No,Basic service,No,0,0,1,0,0,2.0,1,1,0,0,0,True,False,False,False,1754.5240341925182,Q1 (Low),50+,0,0,0.9145367557054129,0.08546324429458707
340,Zone 1,28,31,Married,0,42,College degree,No,Female,No,No,No,Plus service,No,0,1,0,0,1,3.0,0,0,0,0,0,False,False,True,False,1831.1836026839858,Q2,30-40,0,0,0.9313716908809456,0.06862830911905438
341,Zone 1,20,41,Married,7,67,College degree,No,Female,No,No,No,Basic service,No,0,1,0,0,1,3.0,0,0,0,0,0,True,False,False,False,1664.6193271206105,Q3,40-50,0,1,0.8926824343224051,0.10731756567759487
342,Zone 3,72,41,Unmarried,20,181,College degree,No,Male,Yes,Yes,No,Total service,No,0,0,0,1,0,3.0,0,1,1,1,0,False,False,False,True,1733.7229555201345,Q4 (High),40-50,0,1,0.9096911385949236,0.09030886140507643
343,Zone 2,30,43,Unmarried,18,53,College degree,No,Male,No,Yes,No,Basic service,No,0,0,1,0,0,3.0,0,1,0,1,0,True,False,False,False,1259.7100722003208,Q3,40-50,0,1,0.7586605287760999,0.2413394712239001
344,Zone 3,71,52,Unmarried,17,172,High school degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,0,1,0,2.0,0,1,1,1,1,False,False,False,True,1896.9628361758353,Q4 (High),50+,0,1,0.9446184740463994,0.055381525953600574
345,Zone 2,56,44,Unmarried,24,87,High school degree,No,Male,No,No,Yes,Plus service,No,0,0,1,0,0,2.0,0,1,0,0,1,False,False,True,False,2121.674128643234,Q4 (High),40-50,1,1,0.9827031424158179,0.01729685758418209
346,Zone 1,8,29,Married,2,21,Post-undergraduate degree,No,Male,No,No,No,Basic service,Yes,1,1,0,0,1,4.0,0,1,0,0,0,True,False,False,False,1113.9641220130436,Q1 (Low),<30,0,0,0.6926189706053794,0.30738102939462064
347,Zone 2,32,65,Unmarried,6,9,High school degree,Yes,Female,No,Yes,No,E-service,No,0,0,1,0,0,2.0,1,0,0,1,0,False,True,False,False,2010.9010463623679,Q1 (Low),50+,0,0,0.9652112081428137,0.03478879185718631
349,Zone 3,60,45,Married,23,117,College degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,0,1,1,3.0,0,1,1,1,1,False,False,False,True,1979.5206019331702,Q4 (High),40-50,0,1,0.9598189217527483,0.0401810782472517
350,Zone 2,42,32,Married,0,59,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,1,0,1,3.0,0,0,1,1,1,False,False,False,True,1293.8553739892602,Q3,30-40,0,1,0.7726147696941883,0.2273852303058117
351,Zone 3,71,60,Married,39,508,College degree,No,Male,Yes,No,Yes,Total service,No,0,0,0,1,1,3.0,0,1,1,0,1,False,False,False,True,2225.4045265327336,Q4 (High),50+,1,1,0.9971188573530972,0.002881142646902757
352,Zone 2,72,63,Married,40,222,High school degree,Yes,Female,No,No,Yes,Plus service,No,0,0,1,0,1,2.0,1,0,0,0,1,False,False,True,False,2234.430755716311,Q4 (High),50+,1,1,0.9982916921875523,0.0017083078124476847
354,Zone 3,5,31,Unmarried,4,34,Did not complete high school,No,Male,Yes,No,Yes,Plus service,Yes,1,0,0,1,0,1.0,0,1,1,0,1,False,False,True,False,1648.6046377288885,Q2,30-40,0,0,0.8885320036085652,0.11146799639143479
355,Zone 2,17,38,Married,19,18,College degree,No,Female,No,No,No,E-service,No,0,0,1,0,1,3.0,0,0,0,0,0,False,True,False,False,2151.4530788534175,Q1 (Low),30-40,1,0,0.98702444431485,0.012975555685149964
359,Zone 1,72,52,Married,21,63,Did not complete high school,No,Male,No,No,Yes,Plus service,No,0,1,0,0,1,1.0,0,1,0,0,1,False,False,True,False,2202.8366198814188,Q3,50+,1,1,0.9941313001547213,0.005868699845278713
360,Zone 3,32,50,Unmarried,28,57,College degree,No,Male,No,No,Yes,Plus service,No,0,0,0,1,0,3.0,0,1,0,0,1,False,False,True,False,2159.257093255037,Q3,40-50,1,1,0.9881318644481015,0.011868135551898473
361,Zone 3,22,57,Married,7,264,Did not complete high school,No,Female,No,No,Yes,Plus service,No,0,0,0,1,1,1.0,0,0,0,0,1,False,False,True,False,2192.7127091978045,Q4 (High),50+,1,1,0.9927650208961072,0.0072349791038928135
362,Zone 2,6,24,Unmarried,2,28,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,1,0,1,0,0,1.0,0,1,0,0,1,False,False,True,False,1636.1870679054582,Q1 (Low),<30,0,0,0.8852576119350818,0.11474238806491821
364,Zone 1,38,33,Unmarried,3,38,College degree,No,Male,No,Yes,No,E-service,No,0,1,0,0,0,3.0,0,1,0,1,0,False,True,False,False,1368.525723453962,Q2,30-40,0,0,0.8012580737454688,0.19874192625453124
366,Zone 3,37,76,Unmarried,38,117,College degree,No,Female,No,No,No,Basic service,No,0,0,0,1,0,3.0,0,0,0,0,0,True,False,False,False,2205.409305269959,Q4 (High),50+,1,1,0.9944759039413847,0.005524096058615258
367,Zone 1,47,35,Married,13,70,College degree,No,Female,Yes,Yes,No,Total service,Yes,1,1,0,0,1,3.0,0,0,1,1,0,False,False,False,True,1694.7359459382578,Q3,30-40,0,1,0.900271541010473,0.09972845898952698
368,Zone 3,69,59,Unmarried,37,104,High school degree,No,Male,Yes,No,Yes,Plus service,No,0,0,0,1,0,2.0,0,1,1,0,1,False,False,True,False,2201.493229248571,Q4 (High),50+,1,1,0.9939509405240777,0.006049059475922269
371,Zone 1,56,38,Married,8,56,College degree,No,Male,No,Yes,No,Total service,No,0,1,0,0,1,3.0,0,1,0,1,0,False,False,False,True,1794.9756745265363,Q3,30-40,0,1,0.923615667092564,0.07638433290743596
372,Zone 3,40,57,Married,18,68,Did not complete high school,No,Male,No,No,No,Plus service,No,0,0,0,1,1,1.0,0,1,0,0,0,False,False,True,False,2216.942459746341,Q3,50+,1,1,0.9960079467792715,0.0039920532207284865
373,Zone 2,61,45,Unmarried,21,80,High school degree,No,Female,No,No,No,E-service,No,0,0,1,0,0,2.0,0,0,0,0,0,False,True,False,False,2161.2799208765455,Q3,40-50,1,1,0.988417243056744,0.011582756943255945
374,Zone 2,16,26,Unmarried,7,21,College degree,No,Male,Yes,Yes,Yes,Total service,No,0,0,1,0,0,3.0,0,1,1,1,1,False,False,False,True,997.4612377777473,Q1 (Low),<30,0,0,0.63179631333894,0.36820368666105996
376,Zone 3,20,31,Married,10,39,High school degree,No,Female,No,No,No,Basic service,No,0,0,0,1,1,2.0,0,0,0,0,0,True,False,False,False,1698.798494077609,Q2,30-40,0,0,0.9012741076199974,0.09872589238000262
377,Zone 2,35,38,Unmarried,7,90,High school degree,No,Male,No,Yes,No,E-service,No,0,0,1,0,0,2.0,0,1,0,1,0,False,True,False,False,1692.15722965851,Q4 (High),30-40,0,1,0.8996325780046718,0.10036742199532822
378,Zone 1,60,37,Married,12,64,Post-undergraduate degree,No,Female,No,No,No,E-service,No,0,1,0,0,1,4.0,0,0,0,0,0,False,True,False,False,2057.109934080208,Q3,30-40,0,1,0.9727906392067399,0.027209360793260084
379,Zone 2,47,25,Unmarried,2,28,High school degree,No,Male,Yes,No,Yes,Total service,No,0,0,1,0,0,2.0,0,1,1,0,1,False,False,False,True,1391.3476375560183,Q1 (Low),<30,0,0,0.809520313540375,0.190479686459625
380,Zone 2,33,28,Married,3,24,High school degree,No,Female,No,No,No,Basic service,No,0,0,1,0,1,2.0,0,0,0,0,0,True,False,False,False,1431.0611780797028,Q1 (Low),<30,0,0,0.8233727831723807,0.17662721682761928
381,Zone 3,12,34,Unmarried,2,44,High school degree,No,Male,No,No,No,Basic service,No,0,0,0,1,0,2.0,0,1,0,0,0,True,False,False,False,1259.7516977282796,Q2,30-40,0,0,0.758677877708571,0.24132212229142902
382,Zone 1,10,31,Unmarried,0,32,College degree,No,Female,No,Yes,No,E-service,Yes,1,1,0,0,0,3.0,0,0,0,1,0,False,True,False,False,1310.2776354259267,Q2,30-40,0,0,0.779131373282896,0.22086862671710406
383,Zone 2,69,33,Married,9,52,College degree,No,Female,No,No,Yes,Plus service,No,0,0,1,0,1,3.0,0,0,0,0,1,False,False,True,False,1969.4763501294344,Q3,30-40,0,1,0.9580494847818336,0.041950515218166395
386,Zone 2,60,57,Married,14,107,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,1,0,1,2.0,0,0,0,0,1,False,False,True,False,2192.053684326256,Q4 (High),50+,1,1,0.9926755140264377,0.007324485973562278
387,Zone 2,33,33,Unmarried,7,56,High school degree,No,Male,No,No,No,Basic service,No,0,0,1,0,0,2.0,0,1,0,0,0,True,False,False,False,1307.6246353487372,Q3,30-40,0,1,0.7780870679108467,0.2219129320891533
388,Zone 3,67,40,Married,21,40,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,0,1,1,3.0,0,0,1,1,1,False,False,False,True,1923.2535546203742,Q2,30-40,0,0,0.9496245870630837,0.050375412936916275
390,Zone 3,64,31,Married,5,46,High school degree,No,Female,Yes,Yes,Yes,E-service,No,0,0,0,1,1,2.0,0,0,1,1,1,False,True,False,False,1586.6193560055335,Q2,30-40,0,0,0.8716825078346455,0.12831749216535449
391,Zone 2,46,49,Married,13,51,High school degree,No,Male,No,No,No,Basic service,Yes,1,0,1,0,1,2.0,0,1,0,0,0,True,False,False,False,1948.5468809558608,Q3,40-50,0,1,0.9542929075022288,0.04570709249777116
392,Zone 2,72,60,Married,33,12,Did not complete high school,Yes,Male,Yes,No,Yes,Total service,No,0,0,1,0,1,1.0,1,1,1,0,1,False,False,False,True,2218.053428714551,Q1 (Low),50+,1,0,0.9961544286287499,0.0038455713712500783
393,Zone 1,61,43,Married,6,34,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,Yes,1,1,0,0,1,4.0,0,1,1,1,1,False,False,False,True,1485.6656929525052,Q2,40-50,0,0,0.8413737050208747,0.15862629497912528
394,Zone 3,54,27,Unmarried,3,27,High school degree,No,Female,Yes,Yes,No,Total service,No,0,0,0,1,0,2.0,0,0,1,1,0,False,False,False,True,1209.3074529193068,Q1 (Low),<30,0,0,0.7370343863884555,0.26296561361154447
396,Zone 2,28,38,Unmarried,8,119,Post-undergraduate degree,No,Male,Yes,Yes,No,Total service,Yes,1,0,1,0,0,4.0,0,1,1,1,0,False,False,False,True,1231.821816072373,Q4 (High),30-40,0,1,0.7468485806888975,0.2531514193111025
397,Zone 2,32,43,Unmarried,13,146,Did not complete high school,No,Female,No,No,Yes,Plus service,No,0,0,1,0,0,1.0,0,0,0,0,1,False,False,True,False,2088.6217547530555,Q4 (High),40-50,0,1,0.977724065937712,0.022275934062288005
398,Zone 2,52,46,Unmarried,17,51,High school degree,No,Female,No,No,No,E-service,No,0,0,1,0,0,2.0,0,0,0,0,0,False,True,False,False,2145.7036973560084,Q3,40-50,1,1,0.9862020000691523,0.013797999930847737
399,Zone 1,48,62,Unmarried,33,86,Did not complete high school,Yes,Female,Yes,No,Yes,Plus service,No,0,1,0,0,0,1.0,1,0,1,0,1,False,False,True,False,2194.0373542118746,Q4 (High),50+,1,1,0.9929447196714756,0.007055280328524427
403,Zone 2,43,27,Married,3,21,High school degree,No,Female,No,No,No,E-service,No,0,0,1,0,1,2.0,0,0,0,0,0,False,True,False,False,1971.6861031536637,Q1 (Low),<30,0,0,0.9584406032749028,0.04155939672509723
404,Zone 3,67,60,Unmarried,24,24,Did not complete high school,No,Female,Yes,No,Yes,Plus service,No,0,0,0,1,0,1.0,0,0,1,0,1,False,False,True,False,2187.0825718432575,Q1 (Low),50+,1,0,0.9919981006973065,0.00800189930269346
405,Zone 3,61,52,Married,30,91,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,0,0,0,0,True,False,False,False,2178.722623966622,Q4 (High),50+,1,1,0.9908498734046103,0.009150126595389718
406,Zone 3,70,39,Married,20,38,High school degree,No,Female,No,No,No,Plus service,No,0,0,0,1,1,2.0,0,0,0,0,0,False,False,True,False,2171.4994200864544,Q2,30-40,1,0,0.9898485883662718,0.010151411633728236
407,Zone 3,44,32,Married,1,96,College degree,No,Female,Yes,Yes,Yes,Total service,No,0,0,0,1,1,3.0,0,0,1,1,1,False,False,False,True,1373.6170932558446,Q4 (High),30-40,0,1,0.8031207641765025,0.19687923582349753
410,Zone 2,39,59,Unmarried,20,1668,College degree,No,Female,Yes,Yes,No,E-service,No,0,0,1,0,0,3.0,0,0,1,1,0,False,True,False,False,2035.420568416061,Q4 (High),50+,0,1,0.9692852972455814,0.030714702754418566
411,Zone 2,50,29,Married,10,53,College degree,No,Female,Yes,No,Yes,Total service,No,0,0,1,0,1,3.0,0,0,1,0,1,False,False,False,True,1829.7181484662665,Q3,<30,0,1,0.9310643630304635,0.06893563696953653
413,Zone 2,10,34,Unmarried,1,52,Post-undergraduate degree,No,Female,No,Yes,No,E-service,Yes,1,0,1,0,0,4.0,0,0,0,1,0,False,True,False,False,1303.9937191145993,Q3,30-40,0,1,0.7766525645808772,0.22334743541912283
415,Zone 2,68,60,Unmarried,40,262,High school degree,No,Female,No,No,Yes,Plus service,No,0,0,1,0,0,2.0,0,0,0,0,1,False,False,True,False,2226.807724557814,Q4 (High),50+,1,1,0.9973020028718408,0.002697997128159213
416,Zone 3,58,28,Unmarried,5,34,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,0,0,0,1,0,4.0,0,0,1,1,0,False,True,False,False,1076.795638743971,Q2,<30,0,0,0.6740126499654981,0.32598735003450185
417,Zone 3,18,44,Married,10,107,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,0,1,1,1.0,0,0,0,0,0,True,False,False,False,1974.4350113348987,Q4 (High),40-50,0,1,0.9589256990500281,0.04107430094997189
418,Zone 1,65,45,Married,25,67,Post-undergraduate degree,No,Female,No,No,No,Plus service,No,0,1,0,0,1,4.0,0,0,0,0,0,False,False,True,False,2162.726029997462,Q3,40-50,1,1,0.9886208397160311,0.011379160283968903
419,Zone 3,8,45,Unmarried,1,37,College degree,No,Male,No,Yes,No,E-service,Yes,1,0,0,1,0,3.0,0,1,0,1,0,False,True,False,False,1642.7080910181423,Q2,40-50,0,0,0.8869833169283423,0.11301668307165769
420,Zone 2,1,20,Unmarried,1,21,High school degree,No,Female,Yes,No,No,Basic service,Yes,1,0,1,0,0,2.0,0,0,1,0,0,True,False,False,False,719.0984536977219,Q1 (Low),<30,0,0,0.4569520956134393,0.5430479043865607
421,Zone 3,42,58,Unmarried,7,22,Did not complete high school,No,Female,No,No,No,E-service,No,0,0,0,1,0,1.0,0,0,0,0,0,False,True,False,False,2180.188450424539,Q1 (Low),50+,1,0,0.9910520244695259,0.008947975530474106
424,Zone 2,8,24,Married,1,18,College degree,No,Female,Yes,Yes,Yes,Total service,Yes,1,0,1,0,1,3.0,0,0,1,1,1,False,False,False,True,1138.002408007428,Q1 (Low),<30,0,0,0.7042614992407619,0.29573850075923813
425,Zone 1,49,37,Married,17,50,High school degree,No,Female,No,No,No,E-service,No,0,1,0,0,1,2.0,0,0,0,0,0,False,True,False,False,2157.1131928630903,Q3,30-40,1,1,0.9878286569943538,0.012171343005646151
426,Zone 1,56,46,Married,21,33,College degree,No,Male,No,Yes,No,E-service,No,0,1,0,0,1,3.0,0,1,0,1,0,False,True,False,False,2076.9617667764064,Q2,40-50,0,0,0.9759202186330318,0.0240797813669682
427,Zone 1,62,57,Married,21,94,Did not complete high school,No,Male,No,No,Yes,Total service,No,0,1,0,0,1,1.0,0,1,0,0,1,False,False,False,True,2218.5188014106643,Q4 (High),50+,1,1,0.996215731287379,0.003784268712621053
428,Zone 2,42,57,Married,25,209,Did not complete high school,No,Female,No,No,No,Basic service,No,0,0,1,0,1,1.0,0,0,0,0,0,True,False,False,False,2169.0031505934944,Q4 (High),50+,1,1,0.9895005580992107,0.01049944190078933
429,Zone 1,13,32,Unmarried,7,31,College degree,No,Male,Yes,No,Yes,Plus service,No,0,1,0,0,0,3.0,0,1,1,0,1,False,False,True,False,1452.4519883155128,Q2,30-40,0,0,0.8305656247102936,0.1694343752897064
430,Zone 1,69,46,Married,18,66,High school degree,No,Male,No,No,No,E-service,No,0,1,0,0,1,2.0,0,1,0,0,0,False,True,False,False,2184.422492063902,Q3,40-50,1,1,0.9916339732255794,0.008366026774420554
431,Zone 2,45,59,Unmarried,14,51,Did not complete high school,No,Male,No,No,No,Basic service,No,0,0,1,0,0,1.0,0,1,0,0,0,True,False,False,False,1994.838732658089,Q3,50+,0,1,0.9624765569560465,0.0375234430439535
432,Zone 2,66,42,Married,18,118,High school degree,No,Male,No,No,No,E-service,No,0,0,1,0,1,2.0,0,1,0,0,0,False,True,False,False,2174.3365995457884,Q4 (High),40-50,1,1,0.9902429012628257,0.009757098737174341
433,Zone 2,15,35,Unmarried,10,25,High school degree,No,Male,No,Yes,No,Basic service,Yes,1,0,1,0,0,2.0,0,1,0,1,0,True,False,False,False,1003.0260241734604,Q1 (Low),30-40,0,0,0.6348698061779098,0.3651301938220902
